selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
70,2.55,0.5,"Baby Boys' Dinosaur Printed Vest And Letter Printed Shorts, 2pcs Casual Cute Set, Summer",null,null,
,6.8,0.16,Baby Boy 3D Ear Design Hooded Belted Flannel Robe,null,null,
400,3.95,0.16,Baby Girl Floral Print Cami Dress,null,null,
500,6.37,0.17,"Baby Girl's Casual And Simple Flower Printed Short Sleeve T-Shirt And Shorts Set, Suitable For Summer",null,null,4
100,8,0.25,Baby Girl Letter Graphic Tie Dye Hoodie With Sweatpants,null,null,
,7.1,0.13,"Baby Girl Casual Simple English Printed Short Sleeve T-Shirt And Shorts Set, Suitable For Summer",null,null,
100,3,0.4,Baby Boy Summer Fashionable 2pcs/Set Cartoon Dinosaur Car Printed Short Sleeve Top And Casual Shorts,null,null,
200,2.24,0.2,"1pair Girls' Knitted Ribbed Leg Warmers, Perfect For Party Accessory",null,null,
,3.9,0.09,10 Pairs/Set Of Random Colors Baby Unisex Socks Toddler Nude Socks,null,null,4
,9.2,0.08,Baby Girls' Cute Simple Style Water-Washed Denim Shorts With Ruffle Trim,null,null,4
600,3.4,0.08,"1Pc Kids Girls Summer Hat, Sun Visor Hat Wide Brim Summer UV Protection Beach Cap Elastic Hollow Top Style",null,null,
5500,6.2,0.09,Baby Girl Plaid Print Button Front Halter Dress,null,null,4
100,15.3,0.07,3pcs Infant Boys' Casual Solid Color Basic Short Sleeve T-Shirt And Shorts Set,null,null,
600,3.7,0,U-Shaped Soft Silicone Manual Toothbrush Cartoon Crab Tooth Oral Hygiene Cleaning Brush,null,null,
1800,4.86,0.33,SHEIN Baby Girl Casual Basic Adorable Flower Print Romper With Shoulder Straps For Outdoors In Spring/Summer,null,null,
,13.3,0.15,"SHEIN Baby Girl Casual Knitted Solid Color Halter Romper Set, 5pcs",null,null,8
1100,3.17,0.28,"Baby Girls' Cute Letter Printed Bodysuit For New Year's Day And Valentine's Day, Spring And Summer",null,null,4
200,3.55,0.3,"Valentine's Day Baby Girl Heart Pattern Printed Romper With Bow Headband, Spring/Summer",null,null,
700,7.9,0,"Fashionable Baby Girls' Casual Polka Dot Pattern Round Neck Flying Sleeve Cartoon Bear Embroidery Overall Dress With Hair Band, Summer",null,null,
,5.5,0.08,SHEIN Baby Girl Floral Print Contrast Binding Ruffle Hem Cami Romper,null,null,
2800,3.9,0.09,SHEIN Baby Girl Solid Cami Romper,null,null,12
100,2.1,0.5,"Baby Girl Casual Triangle Romper With Simple Letter Print, Short Sleeve",null,null,
700,1.45,0.24,"1pc Cartoon Bathroom Net Storage Bag, Multifunctional Wall Hanging Organizer",null,null,
1300,6,0.08,SHEIN Baby Girl Newborn Elephant & Heart Print Ruffle Trim Romper,null,null,6
400,4,0.05,"Baby Girl Fashionable Casual Flower, Letter & Slogan Printed Short Sleeve T-Shirt",null,null,5
,1.4,0,"1pc/2pcs/3pcs Clear Pacifier Storage Case, Portable & Dustproof",null,null,
1500,3.33,0.37,Baby Boy Tropical Print Tee & Shorts,null,null,
500,6.45,0.24,SHEIN Baby Boy 2pcs/Set Casual Color Block Letter Printed T-Shirt And Shorts,null,null,8
1000,5.66,0.18,SHEIN Baby Boy's Simple Letter Pattern Short Sleeve Romper,null,null,
,3.5,0.08,SHEIN Baby Girl Butterfly Print Tie Dye Cami Romper,null,null,6
60,5.1,0,Summer Baby Girls' 2pcs Lovely Duck Pattern Sleeveless Top And Casual Shorts Sweet Set,null,null,
,6,0.09,10pairs Children's Random Color Solid Smile Face Design Athletic Cute Mid-Calf Socks For Daily Wear,null,null,5
1300,4.44,0.45,"SHEIN Baby Boy Casual & Minimalist Letter Pattern T-Shirt And Shorts Set, Suitable For Summer Outfits",null,null,10
1000,9,0.07,Baby Girl Ombre Pleated Casual Cami Top And Wide Leg Pants,null,null,6
,5.4,0.08,"Baby Girls' One-Piece Swimsuit With Cartoon Print And Hollow-Out Waist And Ruffle Trim, Comes With A Swimming Cap",null,null,4
300,0.85,0.5,Baby Girls' Spring/Autumn Cute Bow Knot Knee-High Socks With Loose Mouth Design,null,null,4
1600,8.6,0.08,"SHEIN 2pcs/Set Baby Boys' Solid Color Casual T-Shirt And Shorts, Spring And Autumn",null,null,8
30,4.8,0,Baby Boys Girls Short Sleeve Rompers Baby One-Piece Outfit Romper,null,null,
700,1.8,0.1,"1pc Children's Butterfly Printed Wide Brim Bonnet, Elastic Comfortable Headwear For Daily Use & Sleep",null,null,
1600,4.85,0.1,SHEIN Baby Girl One Shoulder Top & Paper Bag Waist Shorts,null,null,10
3700,5.09,0.18,Baby Boy Dinosaur Print Patched Pocket Tee & Shorts,null,null,
2800,5.27,0.19,Baby Boys' Slogan Printed Casual Short Sleeve T-Shirt And Shorts Set For Spring And Summer,null,null,
