selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,15.79,0.07,"SHEIN EZwear Women's Plus Size Sleeveless Jumpsuit With Inner Skirt And Pocket Shorts, Solid Color",10,In Casual Plus Size Jumpsuits & Bodysuits,7
2600,19.59,0.13,SHEIN EZwear Plus Size Water Wash Slanted Pocket Straight Leg Denim Shorts,,,
,15.69,0.13,"SHEIN Slayr Plus Size Vacation & Elegance Slim-Fit Colorful Striped Crochet Semi-Sheer Sleeveless Vest-Style Mini Crochet Dress, Summer, Pride Month, Rainbow-E",2,In Casual Plus Size Sweater Dresses,
200,9.27,0.47,SHEIN VCAY Plus Size Vacation Style Casual Jogger Pants With Pockets,,,
70,4.34,0.69,SHEIN POPSWAY Plus Size Women Summer Casual Letter Print Short Sleeve T-Shirt And Shorts 2 Piece Set,,,
4400,15.99,0.14,SHEIN SXY Plus Size Distressed Drawstring Denim Shorts Suitable For Daily Wear,,,7
,20.49,0.08,SHEIN Essnce Plus Size Solid Color Casual 2pcs/Set Outfit,2,In Elegant Plus Size Suits,10
90,4.5,0.7,SHEIN LUNE Plus Size Summer Casual V-Neck Dress With Curved Hemline,,,
400,18.52,0.1,SHEIN EZwear Plus Size Women's Solid Color Simple Casual Shorts For Daily Wear,,,
30,3.27,0.64,SHEIN VCAY Plus Size Women's Random Printed Simple Daily Jumpsuit,,,
1200,17.49,0.14,SHEIN EZwear Coolmax Plus Size Light-Colored Distressed Denim Shorts,,,4
,11.19,0.07,SHEIN Essnce Plus Pocket Patched Romper,5,In Casual Plus Size Jumpsuits & Bodysuits,8
,11.89,0.06,"SHEIN SXY Plus Size One-Shoulder Solid Color Jumpsuit For Daily Wear, Spring & Summer",6,In Casual Plus Size Jumpsuits & Bodysuits,
,9.79,0.08,SHEIN VCAY Plus Size Vacation Style Ruffle Edge Camisole With Thin Straps,10,in Plus Size Tank Tops & Camis,
2400,19.49,0.07,SHEIN Swim Oasis Summer Beach Plus Tie Shoulder One Piece Swimsuit & Beach Skirt,,,
,12.79,0.08,"SHEIN LUNE Plus Size Solid Color Round Neck Hollow Out Embroidery Sleeveless Shirt, Summer",9,In White Plus Size Blouses,
4600,13.49,0.08,SHEIN Clasi Plus Ruffle Trim Belted Dress,,,25
4600,14.44,0.09,SHEIN EZwear Plus Size Classic Camouflage Pleated Skirt,,,6
,19.85,0.12,SHEIN Swim SXY Plus Size Women Summer Beach Solid Simple Halter Neck Bikini Set & Cover Up,1,In Elegant Women Plus Beachwear,4
4300,11.2,0.12,SHEIN LUNE Women'S Plus Size Striped Button-Down Shirt Dress,,,4
,15.69,0.14,SHEIN VCAY Texture Patchwork Hollow Out Split Plus Size Sleeveless Sweater Dress,7,In Casual Plus Size Knitwear,
600,15.19,0.07,"SHEIN Slayr Plus Size Vacation Loose Halter Wide Leg Tropical Plant Printed Jumpsuit For Women, Summer",,,27
1300,11.35,0.33,SHEIN EZwear Plus Solid Tank Top & Track Shorts Set,,,14
1400,21.89,0.07,SHEIN Essnce Plus Size Button Half Placket Batwing Sleeve Hoodie And Shorts Summer Casual Two-Piece Set,,,
30,8.78,0.65,SHEIN SXY Plus Sized Women's Casual Tight-Fitting Narrow Leg Jeans For Daily Outing,,,
10000,14.2,0.09,SHEIN EZwear Plus Size High Waist Pocketed Cargo Pants,,,9
,9.99,0.1,SHEIN EZwear Oversize Spider Letter Print Round Neck Short Sleeve T-Shirt For Casual Summer Look Undercover,10,in Graphic T-shirts,17
900,8.59,0.07,SHEIN BAE Plus Size Women's Off-Shoulder Black Short Sleeve T-Shirt,,,7
700,10.89,0.07,SHEIN EZwear Plus Size Summer Casual Contrast Color Short Sleeve Bodycon Dress,,,
700,14.19,0.08,SHEIN Frenchy Plus Size Square Neck Ditsy Floral Tie Waist Slit Vacation Summer Dress,,,
,9.89,0.06,SHEIN EZwear Plus Size Slogan Printed T-Shirt,8,In Casual Plus Size T-shirts,11
1800,14.39,0.06,Women Plus Size Casual Sexy Skinny Denim Shorts,,,
7800,3.45,0.5,SHEIN SXY Plus Size Women's Solid Color Ribbed Tank Top,,,7
900,5.27,0.54,SHEIN Clasi Plus Solid Ribbed Summer Casual Cami Romper,,,18
,17.39,0,Allover Print Batwing Sleeve Belted Jumpsuit(Random Print),2,In Short Sleeve Plus Size Jumpsuits & Bodysuits,
1300,6.99,0.07,SHEIN EZwear Women Plus Size T-Shirt Summer Short Sleeve Top With Hibiscus Flower Print,,,
