selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,15.8,0.13,SHEIN Teen Girl Knitted Ribbed Pleated T-Shirt And Accordion Pocket Casual Long Pants Set,5,in Teen Girls Sets,9
8200,7.4,0.13,SHEIN Tween Girl Solid Tank Top & Knot Waist Shorts,,,14
3600,4.54,0.45,SHEIN Young Girl Butterfly & Letter Graphic Tee & Shorts,,,5
,4.7,0.11,SHEIN Teen Girl White Knitted Pintuck Fitted Bandeau Cami Top,5,in Teen Girls Tank Tops & Camis,
,9.7,0.14,Young Girl Casual Loose Fit Simple Camouflage Print Multi-Pocket Denim Skirt,8,in Young Girls Denim,7
7600,11.1,0.15,SHEIN Young Boy Letter Graphic Striped Trim Baseball Collar Shirt & Shorts Without Tee,,,7
,11.9,0.15,"Young Girl Casual Basic Street Fashion Romper , Pack Of 3",6,in Young Girls Bodysuits & Jumpsuits,10
,0.64,0.62,"Baby Bath Toy Yellow Duck Shower Spray Toy For Boys, Girls, Children's Pool Swimming Water Play",3,in Kids Play Animal Figures,
1500,8.72,0.15,SHEIN Tween Girls' Woven Solid Color Camisole Top & Wide Leg Pants Set For Casual Wear,,,4
,7.33,0.15,SHEIN Tween Boy Paisley Print Drawstring Waist Shorts,2,in Tween Boys Shorts,
800,7.8,0.14,"SHEIN Young Girls' Casual 2pcs Set, Round Neck Cartoon Printed Short Sleeve Top And Elastic Waist Shorts, Summer",,,
,2.2,0.08,1pc English Initial Letter Charm Golden Twist Necklace For Boys Girls Name Customized Alphabet Choker For Children Birthday Gift,1,in Kids Jewelry & Watches,6
1500,10.06,0.37,SHEIN Streecool Kids Tween Girl Raw Hem Flare Leg Jeans,,,
5400,4.68,0.28,Tween Girl Casual Slogan Print Round Neck Pullover Short Sleeve T-Shirt For Summer,,,7
,10.77,0.24,"Tween Girl Vacation Striped Sleeveless Vest, Pants And Sweater Set With Halter Neck",7,in Tween Girls Cover Ups,
,2.5,0.07,1pc Kids Popular Cubic Zirconia Initial Letter & Crown Pendant Twisted Rope Necklace For Boys Girls For Christmas Party Banquet For Children Birthday Gift,4,in Teen Necklaces,4
200,2.24,0.2,"1pair Girls' Knitted Ribbed Leg Warmers, Perfect For Party Accessory",,,
,2.2,0.08,1 pc Boys girls middle and big kids square acrylic anti-blue light classic rice nail fashion flat lens for daily use,3,in Kids Eyeglasses,
4200,3.74,0.54,SHEIN Young Girl Eyeglasses & Letter Print T-Shirt With Flower Print Shorts Set,,,6
2100,6.15,0.32,SHEIN Tween Girl 2pcs/Set Knitted Casual Heart Printed T-Shirt And Shorts,,,4
,11.9,0.06,Teen Girl Flap Pocket Denim Skirt,1,in Teen Girls Denim Skirts,6
800,3.75,0.44,2pcs/Set Kids' Summer New Pure Color Sleeveless Basketball Pattern Printed Vest Shorts Sports Set For Young Boys,,,
,1.7,0.11,30pcs Girls Random Color Butterfly Design Hair Claw For Hair Decoration,1,in Kids Accessories,4
,13,0.07,"SHEIN Tween Girls' Casual Straight Fit Knee-Length, Soft Washed Denim Shorts",5,in Tween Girls Denim Shorts,
,17.2,0.14,Young Girl 3pcs/Set Fashionable Cute Cartoon Printed Short Sleeve T-Shirt And Leggings,1,in Young Girls Clothing,6
2100,3.25,0.32,Tween Girls' Casual Simple Cartoon Graphic Short Sleeve T-Shirt Suitable For Summer,,,5
300,1.17,0.44,"1pc Children's Personality Cool Sunglasses For Boys And Girls, Anti-Uv, Stylish Summer Sunshade Sunglasses",,,4
3100,25,0.13,"SHEIN Genkimix Kids Tween Girl 6pcs/Set Casual Sport T-Shirt And Sweatpants Outfits, Multicolor",,,7
,9.2,0.08,"2pcs/Set Girls' Sweet & Elegant Sleeveless Top And Lightweight Trousers, Summer",,,
,9.3,0.13,"Tween Girl Knit Solid Color Loose Fit Short Sleeve Top And Shorts, Casual Outfit Set",6,in Tween Girls Sets,6
2700,10.6,0.15,Young Girl's Floral Print Halter Top And Multi-Layer Ruffled Hem Skirt Set With Hat,,,4
,9.7,0.14,SHEIN Tween Girl Spring/Summer Casual Solid Round Neck Ribbed Tank Top,1,in Tween Girls Tank Tops & Camis,7
600,11.8,0.13,"Casual Cartoon Printed Multi-Piece T-Shirt Set For Tween Girls, Suitable For Summer",,,
1900,14.06,0.18,"Multi-Pack (5pcs) Solid Color Wide-Mesh Knitted Loose Sports Shorts For Tween Boys, One In Each Color",,,
,11.3,0.07,"SHEIN Tween Girl Flower Patchwork Pleated Back Tie Waist Cami Dress, Summer",2,in Tween Girls Dresses,4
,12.32,0.26,Tween Boy Ripped Washed Jeans,5,in Tween Boys Denim,4
100,2.08,0.2,2 Pcs/Set New Baby Girls Boys Cute Solid Color Bowknot Hairband Round Sunglasses Set Children Sunglasses Kids Hair Accessories,,,12
,11.8,0.06,SHEIN Teen Girls Ripped Roll Up Hem Denim Shorts,1,in Teen Girls Denim Shorts,
,7.8,0.07,Young Girl Summer Solid Pink Single-Breasted Short Sleeve Shirt + Shorts Casual Outfit Set,3,in Young Girls Clothing,
