selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
10000,11.99,0.07,Manfinity Homme Loose Fit Men's Solid Color Button Up Shirt,,,15
,11.19,0.13,Manfinity Joysei Men's Star Patterned Shorts With Drawstring Waist,8,in Blue Men Clothing,
,8.09,0.13,"Men's Summer Casual Short Sleeve T-Shirt With Slogan And Character Print, Round Neck",10,in Figure Men T-Shirts,
10000,9.99,0.12,Manfinity Homme Men's Contrast Color Short Sleeve Polo Shirt With Decorative Details,,,11
30,3.48,0.7,Manfinity EMRG Loose Fit Men Plus Letter Printed Graphic Tee,,,7
,24.69,0.12,Manfinity Hypemode Loose Fit Men's Cotton Jeans With Slant Pockets Baggy Long Washed Skater Jean Cargo Plain Light Blue Going Out Y2K Friends,8,in Pocket Men Jeans,6
,22.79,0.07,Manfinity Hypemode Men Solid Button Up Shirt & Drawstring Waist Pants Without Tee,2,in Fabric Men Shirt Co-ords,10
80,4.1,0.56,Men's Summer Letter Printed Short Sleeve Round Neck Casual Commute T-Shirt,,,8
3800,7.99,0.13,Manfinity Homme Men's Simple Print/Pattern/Letter Short Sleeve T-Shirt,,,6
,23.95,0.14,Manfinity Homme Men Plus Size Summer Casual Solid Texture Short Sleeve T-Shirt And Shorts Set,2,in Men Plus Size Co-ords,4
100,15.49,0.14,"ROMWE Street Life Men's 2pcs Slogan Printed Shorts, Suitable For Daily Wear In Spring And Summer",,,
,6.29,0.17,Manfinity Homme Men's Solid Color Round Neck Short Sleeve T-Shirt,10,in Black Men Clothing,23
500,3.95,0.54,Manfinity Hypemode Loose Men Slant Pockets Drawstring Waist Shorts,,,10
600,9.29,0.12,Manfinity LEGND Plus Size Round Neck Letter Printed Short Sleeve T-Shirt For Summer,,,5
,15.79,0.13,Manfinity EMRG Men Bear & Letter Graphic Tee & Drawstring Waist Shorts,2,In Cartoon Men Clothing,12
800,21.55,0.08,Manfinity RSRT Men's Plus Size Fashion Color Block Button-Down Shirt And Shorts Set,,,6
,19.79,0.07,Manfinity Homme Men Solid Button Up Shirt & Shorts Set,1,in White Men Shirt Co-ords,
10,13.99,0.14,"Manfinity Hypemode Manfinity Hypemode Men's Men Beach Outfits Printed Single-Breasted Casual Knitted Top, Ideal For Vacation, Summer",,,
1000,17.99,0.13,Manfinity Homme Men Plus Size Summer Round Neck Landscape Print Short Sleeve T-Shirt And Drawstring Pocket Shorts Two-Piece Set,,,
500,16.23,0.07,Men's Solid Color Short Sleeve Polo Shirt And Drawstring Shorts Summer Casual Outfit,,,
,7.99,0.07,"Men's Summer Short-Sleeve Casual T-Shirt With Letter Print, Round Neck",9,in Polyester Men T-Shirts,4
,9.29,0.07,Men Drawstring Waist Zipper Pocket Shorts,10,in Plain Men Shorts,7
,10.29,0.13,Manfinity Homme Men's Plus Size Summer Casual Short Sleeve T-Shirt With Slogan Print And Crew Neck,9,in Colorblock Men Plus Size Clothing,
1300,12.76,0.07,Manfinity Homme Men's Short Sleeve Shirt,,,
,13.19,0.13,Manfinity Homme Men's Solid Color Short Sleeve Polo Shirt,4,in White Men Polo Shirts,9
600,6.95,0.22,Manfinity Men Cartoon & Slogan Graphic Tee,,,7
30,7.21,0.63,Manfinity RSRT Men's Plus Size Summer Palm Tree & Letter Print Round Neck Short Sleeve Casual T-Shirt And Drawstring Waist Shorts Set,,,
20,3.85,0.56,Men's Casual Drop-Shoulder Short Sleeve T-Shirt With Letter Print For Summer,,,7
,20.69,0.12,Manfinity Homme Loose-Fit Men's Solid Color T-Shirt & Drawstring Waist Shorts,4,in Green Men Co-ords,8
,14.19,0.13,Manfinity EMRG Men's Letter Printed Hooded Casual Sweatshirt,5,in Letter Men Hoodies & Sweatshirts,7
6800,7.89,0.12,Manfinity EMRG Men's Letter Printed Slim Fit Short Sleeve T-Shirt For Summer,,,10
1200,22.49,0.07,Manfinity RSRT Men Plus Gradient Color Short Sleeve Shirt And Shorts Set,,,
1600,8.89,0.12,Manfinity Homme Loose Fit Men's Solid Color Waffle Knit T-Shirt,,,9
3000,8.39,0.13,Manfinity Homme Men T-Shirts Fit Crew Neck Short Sleeve Graphic Tee Casual Colorful Summer Knit Top,,,5
6300,10.89,0.14,Manfinity Men Horse Print Striped Trim Polo Shirt,,,12
,12.29,0.42,Manfinity Homme Men's Plus-Size Summer Poker Pattern Print Round Neck Short Sleeve T-Shirt And Drawstring Waist Shorts Outfits,1,in Red Men Plus Size Co-ords,
1300,11.49,0.13,Manfinity Mode Men Contrast Trim Polo Shirt,,,12
300,16.35,0.36,Manfinity Homme Men Two Tone Pocket Patched Shirt & Drawstring Waist Pants Without Tee,,,
,13.49,0.14,Manfinity Homme Loose Fit Men's Flap Pocket Side Cargo Shorts,2,in Khaki Men Shorts,9
1700,6.55,0.51,Manfinity Homme Men Striped Print Polo Shirt,,,6
,8.68,0.69,Manfinity Homme Knitted Casual Letter Printed Round Neck Short Sleeve T-Shirt And Long Pants Two-Piece Set (Plus Size),6,in Khaki Men Plus Size T-Shirt Co-ords,5
10000,9.79,0.13,ROMWE Street Life Men Floral Print Drawstring Waist Shorts,,,10
,11.99,0.07,Manfinity Swimmode Men Striped Letter Patched Detail Drawstring Waist Swim Shorts,5,in Boho Men Swimwear,7
3200,25.89,0.07,Men Ripped Frayed Skinny Jeans,,,10
,9.19,0.12,Manfinity Homme Men's Plus Size Letter Printed Short Sleeve T-Shirt,1,in Casual Men Plus Size Tops,8
4700,16.89,0.07,Manfinity RSRT Men Solid Button Up Shirt & Shorts,,,19
1600,16.13,0.08,Manfinity Homme Men Grid Print Drawstring Waist Pants,,,4
1800,7.89,0.41,Men Solid Drawstring Pocket Detail Thermal Lined Sweatshirt,,,9
,20.09,0.14,Manfinity LEGND Men Plus Ombre Tee & Drawstring Waist Shorts,8,in Black Men Plus Size T-Shirt Co-ords,
,11.19,0.07,Manfinity Homme Men Striped Print Shirt,1,in Striped Men Shirts,9
3200,18.09,0.07,Manfinity RSRT Men Floral Print Shirt & Shorts Without Tee,,,4
,6.63,0.54,Manfinity Chillmode Men Tropical Print Tank Top & Drawstring Waist Shorts,2,in Black Men Tank Top Co-ords,
,22.22,0.18,Manfinity Homme Men Plus Solid Tee & Shorts,8,in Plain Men Plus Size T-Shirt Co-ords,6
6000,3.7,0.59,Men'S Emoticon & Letter Printed T-Shirt,,,
5900,14.72,0.17,Manfinity Chillmode Men Tropical Print Tee & Drawstring Waist Shorts,,,14
10000,14.79,0.13,Manfinity Homme Men's Coconut Tree Print Short Sleeve T-Shirt Set,,,9
800,10.39,0.13,"Manfinity LEGND Men's Casual Short Sleeve T-Shirt With Mushroom Print, Spring/Summer",,,8
100,5.67,0.61,Men Cartoon & Slogan Graphic Kangaroo Pocket Drawstring Thermal Hoodie,,,
50,2.94,0.69,Men's Summer Slogan Palm Tree Printed Round Neck Casual Short Sleeve T-Shirt,,,
10000,7.09,0.12,Manfinity Hypemode Men's Random Tie-Dyeing Gradient Letter Print Short Sleeve T-Shirt,,,11
3200,16.39,0.13,Manfinity Basics Men 3pcs Solid Round Neck Tee,,,4
,20.99,0.13,Manfinity Homme Men Plus Size Solid Color Round Neck Short Sleeve T-Shirt + Drawstring Pocket Shorts Set,2,in Plain Men Plus Size T-Shirt Co-ords,4
2300,11.49,0.14,Men's Solid Color Fine Ribbed Polo Shirt,,,10
1800,19.79,0.14,Manfinity Modomio Loose-Fit Men's Solid Color Shirt And Pants Suit,,,8
,9.97,0.17,Manfinity Homme Men Patch Detail Drawstring Waist Shorts Jogger Color Block Light Grey Casual,9,in Patched Men Bottoms,5
40,9.34,0.59,Manfinity Homme Men's Plus Size Summer Letter Printed Round Neck Short Sleeve Casual T-Shirt And Shorts Set,,,
,11.19,0.13,"ROMWE Street Life Men's Portrait Print Shorts, Suitable For Daily Wear In Spring And Summer",6,in Letter Men Bottoms,
300,14.36,0.24,Manfinity EMRG Men's Loose Casual Cargo Pants With Flap Pockets And Drawstring Waist,,,
3900,12.69,0.13,Manfinity LEGND Men Flap Pocket Drawstring Waist Cargo Shorts,,,9
,9.89,0.07,Manfinity RSRT Men Plants Print Button Up Shirt Without Tee,7,in Button-up shirt,9
500,22.87,0.19,Manfinity Hypemode Men Plus Bear Print Tee & Plaid Drawstring Waist Shorts,,,
7600,23.09,0.07,Men Cotton Ripped Straight Leg Jeans,,,11
6500,13.29,0.06,Manfinity Homme Men's Solid Color Short Sleeve Shirt,,,12
2600,17.39,0.07,Manfinity Homme Men Solid Button Front Shirt & Drawstring Waist Shorts Without Tee,,,12
200,7.02,0.21,Men's Plus Size Letter Printed Short Sleeve T-Shirt,,,
5300,20.59,0.07,Manfinity Homme Men Floral & Letter Graphic Shirt & Drawstring Waist Shorts Without Tee,,,14
6800,19.19,0.07,3pcs Men's Summer Thin Ice Silk Quick-Drying Stylish Casual Running Fitness Beach Shorts Set,,,
1100,13.59,0.13,Manfinity Bizformal Men's Solid Color Skinny Fit Suit Pants Without Belt,,,10
1200,17.59,0.06,Manfinity Hypemode Men Loose Embroidery Star Pattern Contrast Piping Pants,,,6
50,9.36,0.58,"Manfinity RSRT Men's Plus-Size Striped Print Short Sleeve Button-Front Shirt And Pocketed Shorts Set, Summer Casual Vacation Style",,,
1100,12.45,0.35,"Manfinity CasualCool Men Hawaiian Tropical Plant Printed Short Sleeve Casual Shirt And Shorts Set, Summer",,,
10000,11.69,0.13,Manfinity Homme Loose Fit Men's Cargo Shorts With Flap Pockets And Drawstring Waist,,,11
500,9.09,0.13,Manfinity Homme Men Fashion Print Short-Sleeve Loose T-Shirt,,,8
100,10.49,0.13,Manfinity RSRT Men Plus Size Solid Color Button Polo Collar Short Sleeve Casual T-Shirt For Summer,,,
,13.1,0.17,Manfinity EMRG Men's Summer Car Letter Printed Round Neck Short Sleeve Casual T-Shirt And Drawstring Waist Shorts Set,8,in Graphic Men T-Shirt Co-ords,
4300,8.59,0.13,Manfinity Hypemode Men Cartoon Graphic Drawstring Waist Shorts,,,
,11.19,0.13,Manfinity LEGND Double Layer Drawstring Letter And Cross Print Casual Shorts For Summer,1,in Letter Men Shorts,
,4.27,0.53,Men Letter Printed Casual Short Sleeve T-Shirt With Round Neck For Spring And Summer,,,
,18.19,0.13,Manfinity Hypemode Bear Print T-Shirt And Shorts Knitting Casual Two-Piece Set,6,in Animal Men Co-ords,11
,8.58,0.15,Manfinity EMRG Men Floral & Slogan Graphic Drop Shoulder Tee,1,in Floral Men T-Shirts,7
5000,11.58,0.18,Manfinity Homme Men Drawstring Waist Slant Pocket Shorts,,,6
500,7.45,0.29,Manfinity LEGND Men Plus Slogan Graphic Tee,,,5
10000,24.44,0.14,Manfinity Hypemode Men'S Knitted Casual Printed Two-Piece Set,,,
