selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,5.25,0.5,"Korean Style Casual Flat Sandals Women Shoes, Outdoor Wear, Open Toe, Spring Summer New Woven Roman Beach Sandals, Fashionable French Flats For Women With Skirts When Going Out To The Beach Or Apartment, White, Flat, One-Strap, Beige, Black, Orange, White, Yellow, Purple, Grey, Gold, Silver, Blue, Green, Rose Red, Brown, French Leopard Print, Formal Shoes, Holiday Sandals, Bohemian Style Toe Beach Navy Blue Walking Shoes, Crystal Shoes For Women, Cute Flat Loafers, Flat Sandals With Thick Soles, Tie-Up, Shiny Glittering, Mule Shoes, Slippers",1,In Beige Women Sandals,18
,88.7,0.24,"Sports Shoes, Street Sports Shoes, Men's And Women's Sports Shoes, Couple Shoes",1,In Black and White Men Sneakers,8
,52.7,0.21,"New Style Plush Slippers With Toe, Thick Sole Slides That Can Be Worn Outdoors, Indoor Cozy Shoes For Autumn And Winter",1,In Hot Pink Women Home Slippers,4
,22.4,0.19,New Arrival Women's Pointed Toe Shallow Mouth High Heels With Thin Heels And Decorative Buckle,2,In Blue Women Pumps,5
,3.16,0.63,"Summer Men's Casual Slippers, Trendy Slippers Couples' Soft-Bottom Sports Sandals",5,In Beige Men Shoes,
,9.6,0.16,"Wide Fit Women's Popular Snake Print Square Toe Flat Sandals, Summer Holiday Style Black Slippers",6,in Flat Wide Fit Sandals,
,14,0,SHUZIA Women's Fashionable And Versatile Flat Sandals,1,In Camel Women Flat Sandals,5
10,14,0.55,1 Pair Of Korean Style Women's Fashion New Casual Sneakers,,,
30,6.4,0.68,CUCCOO BASICS Chain Decor Flat Loafers Vacation Shoes Summer Sale,,,
,11.63,0.25,"Unisex Beach Shoes, Water Shoes, Fitness Shoes, Five-Finger Swimming Shoes, Outdoor Wading Shoes For Couples",7,in Women Water Shoes,
,1.7,0,"One Pair Leather Forefoot Cushions For High Heels, Soft Anti-Shock, Sweat Absorbent And Slip Resistant, Self-Adhesive Invisible Anti-Slip Front Foot Pads For Summer Sandals.",4,in RECOMMENDED Happiness Products,
800,3.4,0.26,"24pcs/Set Shoe Charms With Butterflies, Flowers, Hearts, And Diamonds For Perforated Shoes, The Buckles Are Golden Color With Separate Insert Buckle",,,
100,3.35,0.41,"26pcs Detachable Butterfly, Flower & Faux Pearl Decorative Chain For Jelly Shoes, Sandals, Beach Shoes",,,6
,1.49,0.17,"2pcs Sandals Non-Slip Stickers, Forefoot Pads, Women's High Heels, Foot Care Insoles",4,in Outdoor Athletic Shoes,7
,1.4,0,"2pcs Women's Sponge Forefoot Inserts To Relieve Pain, Reduce Shoe Size And Enhance Fit, Comfort And Protection For High-Heeled Shoes",6,in RECOMMENDED Happiness Products,
100,3.5,0,"Men's And Women's Water Shoes For Sports & Outdoors: Quick-Drying, Breathable, Flexible Sole, Anti-Slip, Suitable For Swimming, Snorkeling, Water Activities, Boating, Hiking, Camping",,,5
,1.5,0.32,"8/20/30/38Pcs Pink Series Shoe Charms For Clogs Sandals, Colorful Weekly Shoe Decoration Premium Quality Popular Charms Accessories Great Gift For Teens Men Women And Adults",3,In Multicolor Shoe Decorations,
,11.17,0.45,Women's Fashionable College Style Chain Decor Slip-on Loafers,,,
,8.36,0.49,"Women's White Shoes, British Style Pure White Lace-Up Leather Athletic Shoes, Round Toe Low-Top Flat Skate Shoes, Trendy Breathable Slip-Resistant White Sneakers For Students",5,in Skate Shoes Women Shoes,
,3.55,0.61,"Women's Anti-Skid Soft Bottom Wear-Resistant Thick-Soled Slippers, Thick Eva Soles Indoor House Home Slides",1,In Red Violet Women Shoes,9
800,4.13,0.64,"Women Summer Flat Sandals With Ankle Strap, Square Toe, Vintage Minimalist Roman Style, Suitable For Beach Vacation, Anti-Slip Women Flat Sandals",,,
600,0.6,0.6,2/4pcs Women's High-Heel Foot Pads Anti-Slip Half Insole Forefoot Pad Foot Care Shoe Cushion,,,
,7.36,0.45,"Women's Comfortable Breathable Flat Slip-On Casual Sports Shoes, Versatile Design",4,In Camel Women Shoes,7
,18.2,0.17,"Women's Transparent Strap Chunky Heel Wide Version Sandals, French Inspired Chunky Heel High Heels, New Style Comfortable And Fashionable Crystal Heel Women's Summer High Heel Sandals",,,
80,8.96,0.64,"Ladies' Outdoor Sports Skateboarding Shoes In White & Fluorescent Green, Comfortable Flat Bottom Walking Casual Shoes",,,16
,2.5,0.29,Travel Shoe Bags - Set Of 20 Or 50 - Keep Your Shoes Clean And Tidy On The Go,4,in Shoe Storage,
300,9.36,0.46,2024 New Style Cross Suede Thick Heeled Women Daily Versatile Sandals!,,,
50,25.2,0.18,Women Pointed Toe Slip-On Loafers Flat Walking Shoes,,,
200,1.14,0.29,"1 Pair Heel Grips Liner Cushions Inserts For Loose Shoes, Heel Pads Snugs For Shoe Too Big Men Women, Filler Improved Shoe Fit And Comfort, Prevent Heel Slip And Blister",,,
,45.99,0.34,Women's Elegant Fold Over Chunky Heel Pointed Toe Crocodile Print Mid-Calf Slouchy Boots,,,
60,4.86,0.53,"Women's High-Heeled, Lightweight, Comfortable And Fashionable Wedge Sandals With Elastic Straps, Simple Style Slippers, Round Toe, Suitable For Students, Summer Or Hawaii Beach Vacations",,,7
,6.94,0.38,"Women's Summer Flat Beach Flip Flops, Wear Outdoors 2024 New Arrivals, Suitable For Seaside Vacation, Large Size 41-43",10,In Black Women Flat Sandals,
200,1.66,0.5,1pc Simple & Versatile Heart & Faux Pearl Chain Lobster Clasp Shoe Accessory For Canvas Shoes,,,
,3.8,0.24,15 Pairs Lady Shoe Heel Repair Tips For Shoes Pins Dowel Lifts Wedding Heels Care Kit Protectors Caps Women Heeltaps Accessories,1,In Black Shoe Tools,
10,9.5,0.17,"New Leopard Print Bowknot Simple Pointed Toe Flat Mules, Women's Slip-On Shoes",,,
,18.81,0.01,SHEIN SHUZIA Women's Hollow Out Breathable Shoes,1,In Khaki Women Clogs,4
50,22.14,0.1,Women Summer Square Open Toe Slides Backless Mules Slippers Flip Flops Heeled Sandals,,,
,18.43,0.27,"Men's Casual Sports Sneakers, Non-slip White Shoes For All Seasons, Suitable For Students",3,in Men Casual Shoes,5
,20.4,0.21,"Women Criss Cross Sculptural Heeled Ankle Strap Sandals, Glamorous Outdoor Heeled Sandals",4,In Gold Women Heeled Sandals,9
40,10.7,0.21,Women's Fashion Plus Size Casual Outdoor Flat Sandals With Toe Separator,,,10
,19.59,0.3,MOTF PREMIUM WOMEN SOLID COLOR SIMPLE BOWKNOT DECORATION POINTED TOE FLAT SHOES,,,
700,7.28,0.44,SHUZIA Curve Toe Perspex Caged In Jelly Flats,,,
10000,20.5,0.21,"Women's Thick Heel Platform Wedge Sandals, Summer 2023 New Arrivals, Outdoor Beach Roman Style Slippers",,,39
10000,13,0,"SHEIN SHUZIA All Time Bestseller Women's White Blanc Iconic ""H"" Cut-Out O'lan Replica Flat Sandal: Enhanced Comfort, Timeless Style, Most Popular Slide,Over 50k Sold.",,,18
,30.9,0.24,Men's Strap Flat Casual Sports Shoes With Laces And Low Cut Design In Fashionable Black,9,In Black Men Sneakers,
,6.5,0.25,"Men's Summer Slippers, Soft Non-Slip Sole Indoor/Outdoor Bath Shower Couple Anti-Odor Daily Home Big Size Slippers",1,In White Men Flip Flops & Slides,
,13.3,0.2,"Women Minimalist Slingback Sandals, Elegant Sandals",,,
90,19.8,0.18,Women's Elegant Feng Shui Rhinestone Decorated Silver Mesh Pointed Toe Hollow Out Ankle Strap Comfortable Daily/Party Flat Shoes,,,4
,10.09,0.2,Women's Spring And Autumn Fashion Pointed Toe Black Flat Shoes,2,In Black Women Flats,30
,7.17,0.51,Fashionable And Versatile Comfortable White Sneakers With Soft Soles For Casual And Sports Activities,7,in Women Casual Athletic Shoes,
2000,13.2,0.25,Men's Comfortable Ultralight Breathable Mesh Athletic Shoes,,,4
,17.6,0,SHEIN SHUZIA Women's Indoor Slippers,3,In Purple Women Home Slippers,7
,10.7,0.21,"New European And American Style 2024 Women's Clip-Toe Buckle Flat Sandals With Side Hollow Design, Plus Size For Summer",,,
60,2,0.31,4pcs/Set Cute Butterfly Diamond Buckle Shoe Clip For Sport & Casual Shoes With Detachable Shoelace Decoration,,,
,22.1,0.21,"Women's High Heel Sandals Summer New European And American Banquet Simple Square Toe Sandals Popular Slippers, Coral Pearls, Metal Silver High Heels, Vacation, Camping, Sexy, Light Weight, Outside Wearing High Heel Sandals, Lightweight, Beach, Fashionable Sandals",4,In Silver Women Heeled Sandals,4
,14.7,0.23,"New Arrival Women's Casual Home Slipper, Street Style Flat Flip Flop With Double Straps Soft Wood Grain Pattern, Water Proof",1,In Grey Women Slides,27
30,22.4,0.06,"Women Bow & Buckle Decor Chunky Heeled Sandals, Elegant Outdoor White Ankle Strap Sandals",,,
800,15.9,0.21,"Women Buckle Decor Solid White Ankle Strap Wedge Sandals, Vacation Wedge Sandals",,,
,21.5,0.2,"New Women's Fashionable Comfortable Green Round Toe Velvet Lace-Up Booties With Rhinestone Decor, Vintage Simple Casual Chunky Heel Mid-Calf Boots",,,
,10.46,0.48,"Women's Casual Sports Shoes, Fashionable Sneakers With Thick Soles, Low-Cut Lace-Up White Shoes, Outdoor Sports Running Shoes,Suitable For Any Season",7,in Women's Outdoor Athletic Shoes,
,8.5,0.21,"2024 Summer New Arrival Fashionable Women's Silver Sandals & Slippers For Walking, Beach Trip, Traveling, TPR Anti-Skid",9,In Silver Women Flat Sandals,
60,20.2,0.2,"Women's High Heel Wedge Sandals, New Style, Waterproof Platform, Fashionable Butterfly Decoration, Rhinestones, Popular Among Girls",,,15
100,3.5,0,"2pcs/1 Pair Compression Arch Support Brace For Men & Women - For Flat Feet, High Arches, Fallen Arches, Heel Fatigue - Unisex Orthotic Support - Ideal For Weight 40~70kg",,,
,12.6,0.18,"Ladies' Fashionable Hollow Out Flat Shoes, Comfortable & Non-slip",3,In Multicolor Women Flats,23
,19.99,0.71,Womens Slip On Mules Round Toe Slippers,,,5
,17.3,0.18,"Summer Hollow Out New Style Pu Leather Driving Loafers For Middle Aged & Elderly Women, Soft Bottom Wedge Heels Loafers",2,In Khaki Women Flats,32
10,21.6,0.13,Women Minimalist Platform Lace-Up Combat Boots Side Zipper Fashion Boots Chunky Heel Ankle Booties,,,
,11.3,0.2,"Women's Circle Gold Decorative Buckle Hollow Out Clip-Toe Flat Sandals, Summer Holiday Style Lightweight Fashionable Flat Sandals",7,in Edgy,4
3500,1.7,0.29,"6pcs 3pairs Silent, Slip-resistant Heel Protectors For High Heels, Transparent",,,
,10.2,0.18,Metallic Crocodile Patterned Fancy Stylish Outdoor Sandals,3,in Causal,9
,9.6,0.23,"New Women's Simple And Comfortable Warm Indoor Slippers For Autumn And Winter, Home/Bedroom Use",,,
