selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,7.85,0.4,pcs Set Women Seamless Yoga Shorts  High Waist Stretch Workout Shorts Women Boxer Shorts,9,in Women Sports Shorts,5
,1.02,0.67,Pc Battery Operated Mini Portable Fan  Lightweight Handheld Fan   Ideal For Office  Outdoor  Traveling And Camping   Stay Cool Anytime  Anywhere   Requires AAA Batteries  Not Included  Camping Stuff,5,in Camping & Hiking,
,88.7,0.24,Sports Shoes  Street Sports Shoes  Men s And Women s Sports Shoes  Couple Shoes,1,In Black and White Men Sneakers,8
3100,5.96,0.52,SHEIN Yoga Basic Seamless High Stretch Sports Set,,,13
8300,7.64,0.25,Tennis Basic Pleated Detail Sports Skort With Phone Pocket Tennis Skort,,,
200,9.39,0.12,SHEIN EZwear American Flag   Letter Graphic Pullover,,,
,17.7,0.3,Yoga Basic Seamless High Elasticity Sports Leggings,4,in Women Sports Leggings,7
30,18.6,0.21,Women Lightweight Lace Up Sneakers Breathable Running Sports Shoes,,,
,1.54,0.23,Sun  Protective Anti UV  pc Outdoor Cycling Headgear Windproof  Sun Proof  And Dustproof Face Mask  Good Protection For Biking  Hiking  And Skiing,1,in Cycling Mask & Scarf,8
,11.89,0.13,SHEIN X Virginia   ZeFelipe Women s Hooded Sweatshirt With Drawstring,5,In Long Sleeve Women Sweatshirts,8
,18.2,0.12,Over Night Holiday Luggage Travel Duffel Bag With Quilted Argyle Pattern Large Capacity Waterproof Gym Bag  Weekend Carry On Handbag With Dry And Wet Separation  Shoes Compartment Casual Multifunctional Portable Shoulder Bag For Business Vacation Outdoor  Skiing Exercise Fitting Fluffy Bag Quilted Bag Quilt Bag Puffer Bag Quilted Tote Bag Hand Bag Traveling Bag Minimalist,6,in Travel Duffel Bags,7
,4.38,0.64,pc Solar Garden Watering Can Lights Solar Waterfall Lights With Cascading Lights Waterproof Charging Board Garden Decor For Outside Outdoor Solar Light String Fairy LED Hanging Lantern For Yard Decor,4,in Path Lights,
